Όνομα,Απόσταση από νοσοκομείο,Αστέρια,E-Mail,Τηλέφωνο,Εναλλακτικό Τηλέφωνο,Αριθμός Φαξ,Πόλη,Διεύθυνση,Ταχυδρομικός Κώδικας,Ιστοσελίδα,Τηλέφωνο 2,Εναλλακτικό Φαξ
ΡΟΔΑ ΓΚΑΡΝΤΕΝ ΒΙΛΛΑΤΖ,"


10 Χλμ
",3,rodagardenvillagereservations@yahoo.com,26630-63586,,26630-63565,Ρόδα,ΡΟΔΑ ΚΕΡΚΥΡΑΣ,490 81,,26630-63587,
ΡΟΔΑ ΟΑΣΙΣ,"


35 Χλμ
",2,rd-oasis@otenet.gr,26630-63179,2651-033427,26630-63433,Ρόδα,ΡΟΔΑ ΚΕΡΚΥΡΑΣ,490 81,www.rodaoasis.com,26630-64179,2651-033427
ΡΟΔΟΣΤΑΜΟ,"


10 Χλμ
",5,info@rodostamo.gr,2661440300,2661-440300,,Γουβιά,,491 00,https://rodostamo.gr,2661440312,2661-091532
ΡΟΖ ΟΔΥΣΣΕΙΑ,"


14 Χλμ
",2,info@thepinkpalace.com,26610-53103,2661-053103,26610-53025,Άγιος Γόρδιος,,490 84,www.thepinkpalace.com,26610-53104,2661-053025
ΡΟΖ ΠΑΡΑΔΕΙΣΟΣ,"


14 Χλμ
",1,info@thepinkpalace.com,26610-53103,2661-053103,26610-53025,Άγιος Γόρδιος,ΑΓ.ΓΟΡΔΙΟΣ ΚΕΡΚΥΡΑΣ,490 84,www.thepinkpalace.com,,2661-053025
ΡΟΖΑ,,2,,26950-84195,,,Άνω Γερακάρι,,291 00,,,
ΡΟΖΑ ΜΠΕΛΛΑ ΚΟΡΦΟΥ,"


2 Χλμ
",4,itha25@otenet.gr,26610-94236,,26610-80274,Έρμονες,ΕΡΜΟΝΕΣ ΚΕΡΚΥΡΑΣ,491 00,www.rbellacorfuhotel.com,26610-94226,
ΡΟΖΕΛΑΝΤ,"


4 Χλμ
",3,info@roselandhotel.gr,26950-43912,2695-055388,26950-26017,Καλαμάκι,ΚΑΛΑΜΑΚΙ ΖΑΚΥΝΘΟΥ,291 00,www.roselandhotel.gr,,
ΡΟΖΙΝΑ,"


0.2 Χλμ
",1,,26610-91810,2661-022156,,Κοντοκάλι,ΚΟΝΤΟΚΑΛΙ ΚΕΡΚΥΡΑΣ,491 00,,,
ΡΟΜΑΝΤΖΑ,"


2 Χλμ
",2,info@romanzahotel.com,26630-51762,2661-028020,26630-52085,Άγιος Στέφανος,ΑΓ.ΣΤΕΦΑΝΟΣ ΑΥΛ.ΚΕΡΚΥΡΑΣ,490 81,www.romanzahotel.com,2663052085,2661-022873
ΡΟΥΛΗΣ,,2,lamprinitsatsani@hotmail.com,26610-76451,,26610-76451,Μεσογγή,ΜΕΣΟΓΓΗ ΚΕΡΚΥΡΑΣ,490 80,,,
ΡΟΥΣΣΟΣ,,2,,26620-22122,,,Κάβος,ΚΑΒΟΣ ΛΕΥΚΙΜΜΗΣ ΚΕΡΚ.,490 80,,,
ΡΩΣΣΗΣ,"


1 Χλμ
",2,hotelrossis@hotmail.com,26610-75352,2661-027143,26610-75060,Μεσογγή,ΜΕΣΟΓΓΗ ΚΕΡΚΥΡΑΣ,490 80,www.rossishotel.eu,26610-75342,2661-075060
ΣΑΒΒΑΣ,"


6 Χλμ
",2,info@hotelsavvas.com,26950-52565,,26950-55185,Λαγανάς,,290 92,www.hotelsavvas.com,,
ΣΑΙΝΤ ΝΙΚΟΛΑΣ ΓΟΥΒΙΑ,"


1 Χλμ
",3,info@saint-nicholas-hotel.com,26610-91621,,,Γουβιά,ΓΟΥΒΙΑ ΚΕΡΚΥΡΑΣ,491 00,www.saint-nicholas-hotel.com,26610-91622,
ΣΑΙΝΤ ΤΖΟΡΤΖ ΠΑΛΛΑΣ,,4,saintgeorge.dolianiti@gmail.com,2663096358,,2663041479,Άγιος Γεώργιος Πάγων,,49083,,,
ΣΑΜΗ ΜΠΗΤΣ,"


2 Χλμ
",3,info@samibeachhotel.gr,26740-22824,2674-022824,26740-22846,Σάμη,ΣΑΜΗ ΚΕΦΑΛΛΟΝΙΑΣ,280 80,www.samibeachhotel.gr,26740-22802,
ΣΑΝ ΑΝΤΟΝΙΟ ΚΟΡΦΟΥ ΡΕΖΟΡΤ,,4,info@sanantoniocorfuresort.gr,26610-91368,26630-91368,26610-40153,Καλάμι,ΚΑΛΑΜΙ ΓΙΜΑΡΙΟΥ ΚΕΡΚΥΡΑΣ,491 00,www.sanantoniocorfuresort.gr,26610-42040,
ΣΑΝ ΡΑΙΖ,"


14 Χλμ
",2,sunrisehotel@hotmail.com,26450-71400,,,Νικιάνα,ΝΙΚΙΑΝΑ ΛΕΥΚΑΔΑΣ,311 00,www.sunrise-lefkada.com,6937-184018,
ΣΑΝ ΡΑΙΣ,"


3 Χλμ
",4,info@sunrisehotel.gr,26950-49097,6974-422657,26950-22590,Πλάνος,ΠΛΑΝΟΣ ΖΑΚΥΝΘΟΥ,291 00,www.sunrisehotel.gr,,2695-022590
ΣΑΝ ΤΖΩΡΤΖΙΟ-ΑΓ.ΓΕΩΡΓΙΟΣ,"


2.5 Χλμ
",4,kefalonia.bdg@gmail.com,26710-83267,6939-081929,26710-83557,Σκάλα,ΣΚΑΛΑ ΚΕΦΑΛΛΗΝΙΑΣ,280 82,www.sangiorgiohotel.gr,,2671-083557
ΣΑΝΝΥ ΚΟΡΦΟΥ ΑΠΑΡΤΜΕΝΤΣ,,2,krokid@otenet.gr,26630-95983,,,Περουλάδες,,490 81,,,
ΣΑΝΣΑΙΝ ΙΝΝ,"


6 Χλμ
",2,papassotiris@gmail.com,6942557700,2645-022876,26450-71525,Λυγιά,ΛΥΓΙΑ ΛΕΥΚΑΔΑΣ,311 00,,,2645-025174
ΣΑΝΣΕΛ,"


1 Χλμ
",2,kanalihotel@gmail.com,26630-99401,2663-099401,26630-99403,Περουλάδες,,490 81,www.kanali.tk,,2663-099403
ΣΑΝΤΑ ΜΑΡΙΝΑ,"


12 Χλμ
",3,info@santamarina.gr,26450-97111/12,21-05542109,26450-97113,Άγιος Νικήτας,ΑΓ.ΝΙΚΗΤΑΣ ΛΕΥΚΑΔΑΣ,310 80,www.santamarina.gr,2645097455,21-05549937
ΣΑΝΤΑ ΜΑΥΡΑ,"


0.5 Χλμ
",2,entaxeilefkas@gmail.com,26450-26713,6981891703,26450-26253,Λευκάδα,ΣΠ. ΒΛΑΝΤΗ 2,311 00,,26450-21309,2645-026253
ΣΑΝΤΙΜΑΡΙΑ,"


3 Χλμ
",2,sandymariahotel@gmail.com,26950-22758,21-02135422,26950-22758,Πλάνος,,291 00,,,
ΣΑΝΤΥ ΒΙΛΛΑΣ,,5,haris.koliastasis@meetingpointhellas.gr,2661096550,,,Χλομός,,49080,,,
ΣΑΝΤΥ ΜΠΗΤΣ ΡΙΖΟΡΤ,"


14 Χλμ
",5,haris.koliastasis@meetingpointhellas.gr,26620-52142,,26620-52146,Άγιος Γεώργιος Αργυράδων,ΑΓΙΟΣ ΓΕΩΡΓΙΟΣ ΚΕΡΚΥΡΑΣ,490 80,www.aquisresorts.com,,
ΣΑΡΑΚΙΝΑ,"


1 Χλμ
",2,sarakinahotel@gmail.com,26950-53388,2695-023145,26950-53388,Παντοκράτωρας,,290 92,,,
ΣΑΦ ΟΤΕΛ ΣΕΡΒΙΣ,"


4 Χλμ
",2,safhotelcorfu@gmail.com,26610-91507,2661-091451,,Γουβιά,,491 00,,,
ΣΕΙΡΗΝΑ,"


3 Χλμ
",3,info@molfettabeach.com,26610-91458,2661-099641,26610-91919,Γουβιά,ΓΟΥΒΙΑ ΚΕΡΚΥΡΑΣ,491 00,www.molfettabeach.com,26610-91915,2661-091919
ΣΕΙΡΗΝΑ,"


8 Χλμ
",2,gardelliresort@hotmail.com,26950-51071,6936-141784,26950-51857,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,,26950-51073,
ΣΕΙΡΗΝΕΣ,"


0.1 Χλμ
",2,sirines@otenet.gr,26710-25311,6946616619,26710-25311,Βλαχάτα,,280 83,www.sirines-apartments.com,6946-616619,2671025311
ΣΕΙΡΙΟΣ,"


17 Χλμ
",2,info@sirios-hotel.gr,2645301935,2645301935,26450-97025,Καλαμίτσι,ΚΑΘΙΣΜΑ,310 80,www.sirios-hotel.gr,,2645097025
ΣΕΛΗΝΗ,"


12 Χλμ
",2,,26450-97369,,26450-97333,Άγιος Νικήτας,ΑΓ.ΝΙΚΗΤΑΣ ΛΕΥΚΑΔΑΣ,310 80,www.lefkada.biz/hotelselini,26450-25105,
ΣΕΛΗΝΗ,"


2 Χλμ
",2,jimmypir@gmail.com,26950-83970,,26950-83970,Καταστάρι,,290 90,,26950-26581,
ΣΕΛΛΑΣ,,2,gsellas@otenet.gr,26630-95285,2663095285,,Σιδάρι,ΣΙΔΑΡΙ ΚΕΡΚΥΡΑΣ,490 81,,26630-95286,
ΣΕΛΥΡΙΑ ΡΙΖΟΡΤ,,5,sellenashotelsae@gmail.com,2695022676,,2695022676,Ζάκυνθος,,29100,,,
ΣΕΜΕΛΗ,"


38 Χλμ
",2,nikolaosmandilas@yahoo.com,26630-63097,,26630-63097,Ρόδα,ΡΟΔΑ ΚΕΡΚΥΡΑΣ,490 81,www.semeli-hotel.com,,
ΣΕΜΕΣ,,3,semeshotel@yahoo.com,2695045514,,2695024366,Αργάσι,,29100,,,
ΣΕΜΙΡΑΜΙΣ,"


3 Χλμ
",2,semiramis_hotel@hotmail.gr,26450-24660,,,Λευκάδα,ΦΑΝΕΡΩΜΕΝΗ ΛΕΥΚΑΔΑΣ,311 00,www.semiramishotel.gr,,
ΣΕΝΤ ΝΤΕΝΙΣ,"


4 Χλμ
",4,stdenishotel@gmail.com,26950-45296,26950-22111,26950-27617,Πλάνος,ΤΣΙΛΙΒΙ ΠΛΑΝΟΥ ΖΑΚΥΝΘΟΥ,291 00,www.stdenis.gr,2695022111,26950-27617
ΣΕΝΤ ΣΠΥΡΙΔΩΝ ΜΠΕΥ,"


5 Χλμ
",3,,26630-98394,,,Περίθεια,ΠΕΡΙΘΕΙΑ ΚΕΡΚΥΡΑΣ,491 00,,,
ΣΕΝΤΙΝΤΟ ΛΟΥΗΣ ΠΛΑΓΟΣ ΜΠΗΤΣ,"


7 Χλμ
",4,plagos@louishotels.com,26950-62800,2695-062800,26950-62900,Τραγάκι,ΑΜΠΟΥΛΑ,291 00,www.louishotels.com,,2695-062900
ΣΕΝΤΣΟΥΡΥ ΡΕΖΟΡΤ,"


0.3 Χλμ
",4,contact@centuryresort.gr,26630-63401,26610-48880,26630-63405,Αχαράβη,ΑΧΑΡΑΒΗ ΚΕΡΚΥΡΑΣ,491 00,www.centuryresort.gr,26630-63402,26630-63405
ΣΕΡΦ ΟΤΕΛ,"


0.6 Χλμ
",2,phil@oceanelements.com,26450-31740,,26450-31706,Βασιλική,ΠΟΝΤΙ-ΒΑΣΙΛΙΚΗΣ ΛΕΥΚΑΔΑΣ,310 82,www.surfhotel.de.vu,26450-31798,
ΣΙΔΑΡΙ ΑΛΚΥΩΝ,"


0.8 Χλμ
",2,alkionhotel@gmail.com,26630-95300,,26630-95497,Σιδάρι,ΣΙΔΑΡΙ ΑΛΥΚΩΝ ΚΕΡΚΥΡΑΣ,490 81,www.alkionsidari.com,26630-95496,
ΣΙΔΑΡΙ ΥΔΑΤΙΝΟ ΠΑΡΚΟ,,4,info@sidariwaterpark.com,26630-99066,21-05729950,26630-99398,Σιδάρι,ΣΙΔΑΡΙ ΚΕΡΚΥΡΑΣ,490 81,www.sidariwaterpark.com,26630-95978,21-05729950
ΣΙΛΒΕΡ ΜΠΗΤΣ,"


2 Χλμ
",3,silverbeachhotel@hotmail.com,26630-63112,2663-063112,26630-63076,Ρόδα,ΡΟΔΑ ΚΕΡΚΥΡΑΣ,490 81,www.silverbeachcorfu.com,26630-63076,2663-063076
ΣΙΛΟ ΑΠΑΡΤΜΕΝΤΣ – ΘΑΛΑΣΣΑ,"


3.5 Χλμ
",3,siloapartments@otenet.gr,26710-27401,2671-022596,26710-27402,Αργοστόλι,ΛΑΣΣΗ ΑΡΓΟΣΤΟΛΙΟΥ ΚΕΦΑΛΛ.,281 00,www.siloapartments.gr,26710-27081,2671-027402
ΣΙΝΙΩΔΗΣ,"


0.5 Χλμ
",2,siniodis@yahoo.co.uk,26450-92274,26450-92274,26450-92763,Νυδρί,,311 00,,,
ΣΙΟΡΡΑ ΒΙΤΤΟΡΙΑ,"


0.15 Χλμ
",4,info@sioravittoria.com,26610-36300,,26610-40777,Κέρκυρα,ΙΣΤΟΡΙΚΟ ΚΕΝΤΡΟ ΠΟΛΕΩΣ ΚΕΡΚΥΡΑΣ,491 00,www.sioravittoria.com,,
ΣΙΡΟΚΟΣ,"


5 Χλμ
",3,hotelsirocco@gmail.com,26950-26083,6973-431965,,Καλαμάκι,ΚΑΛΑΜΑΚΙ ΖΑΚΥΝΘΟΥ,291 00,www.siroccohotel.com,,
ΣΙΤΥ ΜΑΡΙΝΑ,"


0.5 Χλμ
",3,info@citymarina.gr,26610-39505,,26610-33708,Κέρκυρα,ΔΑΝΖΕΛΟΤ 15,491 00,www.citymarina.gr,26610-39986,
ΣΚΟΡΠΙΟΣ,"


2 Χλμ
",2,info@hotelscorpios.gr,26450-92452,2645-024216,26450-92652,Περιγιάλι,ΠΕΡΙΓΙΑΛΙ ΛΕΥΚΑΔΟΣ,311 00,www.hotelscorpios.gr,26450-23097,2645-023097
ΣΜΑΡΑΓΔΙ ΤΟΥ ΙΟΝΙΟΥ ΘΕΡΕΤΡΟ,"


1 Χλμ
",5,tremou@otenet.gr,26740-22645,26740-22708,26740-22703,Καραβόμυλος,ΚΑΡΑΒΟΜΥΛΟΣ ΣΑΜΗΣ,280 80,www.ionianemerald.gr,26740-22709,26740-22703
ΣΟΛΩΝΑΚΙ,,2,,26610-75347,,,Μοραΐτικα,ΜΩΡΑΙΤΙΚΑ ΚΕΡΚΥΡΑΣ,490 84,,,
ΣΟΦΙ,"


0.5 Χλμ
",2,doulihion@hotmail.com,26710-93977,,26710-93508,Ληξούρι,ΛΗΞΟΥΡΙ ΚΕΦΑΛΛΟΝΙΑΣ,282 00,,,
ΣΟΦΙΑ,"


2 Χλμ
",2,steavendassia@yahoo.com,26610-93256,,,Κάτω Κορακιάνα,ΚΑΤΩ ΚΟΡΑΚΙΑΝΑ ΚΕΡΚΥΡΑΣ,490 83,,,
ΣΟΦΙΑ,"


3 Χλμ
",2,info@sofias.gr,26950-27697,6942-421166,,Καλαμάκι,ΚΑΛΑΜΑΚΙ ΖΑΚΥΝΘΟΥ,291 00,www.sofias.gr,26950-45434,
ΣΟΦΙΑ,"


5 Χλμ
",2,jkatopodis@gmail.com,26450-71872,2645-025109,26450-29121,Νικιάνα,,311 00,www.hotelsofia.gr,26450-71730,
ΣΟΦΙΑ,,2,hoteltimos@yahoo.gr,26950-55363-4,,,Λαγανάς,,290 92,,,
ΣΟΦΙΑ ΓΟΥΒΙΑ,,3,,26610-40618,,,Γουβιά,ΓΟΥΒΙΑ ΚΕΡΚΥΡΑΣ,491 00,,,
ΣΠΙΤΙ ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ,"


6 Χλμ
",1,stgh@otenet.gr,26450-71114,,26450-71190,Λυγιά,,311 00,,,
ΣΠΙΤΙ ΠΡΙΦΤΗ,"


5 Χλμ
",4,priftiel@otenet.gr,26610-91263,2661-091263,26610-90247,Γουβιά,ΓΟΥΒΙΑ ΚΕΡΚΥΡΑΣ,491 00,www.spitiprifti.gr,91585,2661-090247
ΣΠΙΤΙ ΤΟΥ ΠΟΡΟΥ,"


0.1 Χλμ
",1,info@poroshousehotel.gr,26740-72417,2109358691,,Πόρος,ΠΟΡΟΣ ΚΕΦΑΛΛΟΝΙΑΣ,280 82,www.poroshousehotel.gr,,
ΣΠΥΡΟΣ ΚΑΙ ΜΑΡΙΑ,,2,thodorismouzakitis@gmail.com,2663051861,,,Αυλιώται,,49081,,2663095685,
ΣΤΑΜΙΡΗΣ,,2,,26950-35378,,,Βασιλικός,ΒΑΣΙΛΙΚΟΣ ΖΑΚΥΝΘΟΥ,291 00,,26950-35379,
ΣΤΕΛΛΑ,"


10 Χλμ
",3,info@stella-apartments.gr,26740-41261,21-04941280,26740-41262,Φισκάρδο,ΦΙΣΚΑΡΔΟ ΚΕΦΑΛΛΗΝΙΑΣ,280 84,www.stella-apartments.gr,,21-04941280
ΣΤΕΜΜΑ,,3,,2663095219,,,Σιδάρι,,49081,,,
ΣΤΕΜΜΑ ΝΥΔΡΙΟΥ,"


1.7 Χλμ
",3,info@royalnidri.gr,6937420075,6971629889,26450-92578,Νυδρί,,310 84,,,
ΣΤΡΑΝΤΑ ΜΑΡΙΝΑ,"


1 Χλμ
",4,stmarina@otenet.gr,26950-22244,26950-42761,26950-28733,Ζάκυνθος,Κ.ΛΟΜΒΑΡΔΟΥ 14,291 00,www.stradamarina.gr,26950-45501,26950-28733
ΣΤΡΟΦΦΑΔΕΣ,"


4 Χλμ
",3,strofadesfrontdesk@gmail.com,26950-49227,,,Πλάνος,,291 00,www.strofadeshotel.gr,,
ΣΥΔΝΕΫ,"


1 Χλμ
",2,infosydneyhotelgr@yahoo.com,26950-52266,2695-028323,26950-52268,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,,26950-52267,
ΣΧΕΡΙΑ,"


3 Χλμ
",2,info@scheria.gr,26610-93233,2661-093567,26610-97649,Κάτω Κορακιάνα,ΚΑΤΩ ΚΟΡΑΚΙΑΝΑ,490 83,www.scheria.gr,26610-97649,26610-97649
ΣΩΚΡΑΤΗΣ,"


1.5 Χλμ
",2,socrateshotel@yahoo.com,26630-95860,6936-526134,26630-99202,Περουλάδες,ΜΕΛΙΤΣΑ,490 81,www.socrateshotel.com,,
ΣΩΤΗΡΗΣ,"


8 Χλμ
",2,info@sotirisstudios.gr,26710-41861,,26710-42033,Σβορωνάτα,ΣΒΟΡΩΝΑΤΑ ΚΕΦΑΛΛΗΝΙΑΣ,281 00,www.sotirisstudios.gr,,
ΤΕΖΟΡΟ,,4,info@bluecollectionresorts.com,2695023110,,2695024118,Πλάνος,,29100,http://bluecollectionresorts.com,,
ΤΕΛΕΣΙΛΛΑ,"


4 Χλμ
",3,info@hoteltelesilla.com,26610-91820,2661-091275,26610-91194,Κοντοκάλι,ΚΟΝΤΟΚΑΛΙ ΚΕΡΚΥΡΑΣ,491 00,www.hoteltelesilla.com,26610-91822,2661-091194
ΤΕΟ,,1,linikol@windowslive.com,2661093559,,26610-23188,Πυργί,ΠΥΡΓΙ ΚΕΡΚΥΡΑΣ,490 83,,6938528750,
ΤΕΡΕΖΑ,,2,hstudios@otenet.gr,26950-52875,,26950-52024,Λιθακιά,,290 92,,,
ΤΕΡΕΖΑΣ,,2,info@terezashotel.com,26610-41878,,,Περουλάδες,,490 81,,,
ΤΕΣΟΡΟ ΜΠΛΟΥ,,4,evangelia@tesoroblu.com,2671083056,,,Σκάλα,,280 86,www.tesoroblu.com,,
ΤΖΑΝΤΕ ΧΟΤΕΛ,"


8 Χλμ
",3,unitaxoffice@yahoo.gr,26950-51611,,26950-51078,Λαγανάς,ΛΑΓΑΝΑΣ ΖΑΚΥΝΘΟΥ,290 92,,51078,
ΤΖΕΒΕΝΟΣ,,2,tzevenos@otenet.gr,26620-52073,,26620 52438,Άγιος Γεώργιος Αργυράδων,,490 80,tzevenos.gr,26620 52485,
ΤΖΕΛΑ,,1,gela.corfu@hotmail.com,26630-95323,,,Περουλάδες,ΜΕΛΙΤΣΑ,491 00,,,
ΤΖΕΜΙΝΙ,"


1 Χλμ
",3,gemini@cnichotels.com,26610-75211,2661-075398,26610-75213,Μεσογγή,ΜΕΣΟΓΓΗ ΚΕΡΚΥΡΑΣ,491 00,www.cnichotels.com,26610-75398,2661-075213
ΤΖΕΝΥ,,3,info@jennyhotel.gr,2695051371,,,Λιθακιά,,29092,,,
ΤΖΙΜΗΣ,"


1 Χλμ
",1,jimhotel@otenet.gr,26630-99019,2663-051309,26630-99019,Περουλάδες,ΠΕΡΟΥΛΑΔΕΣ ΚΕΡΚΥΡΑΣ,490 81,,,2663-051309
ΤΖΟΒΑΝΑ,"


12 Χλμ
",2,info@jovanahotel.com,26610-94594,2661-037303,26610-94738,Πέλεκας,ΚΟΚΚΙΝΙ ΠΕΛΕΚΑ ΚΕΡΚΥΡΑΣ,491 00,www.jovanahotel.com,26610-94014,2661-094738
ΤΖΩΡΤΖ ΣΙΔΑΡΙ,,3,achilleasmou@gmail.com,26630-95215,,,Περουλάδες,,490 81,www.sangeorgesidari.gr,,
ΤΖΩΡΤΖΙΝΑ ΙΝ,"


9 Χλμ
",2,,26950-51454,6977634101,,Λιθακιά,,290 92,,26950-52603,26950-29358
ΤΗΛΕΜΑΧΟΣ,,2,telemachoshotel@gmail.com,26610-97027,2661-097170,26610-97026,Κάτω Κορακιάνα,ΔΑΣΙΑ ΚΕΡΚΥΡΑΣ,490 83,,,
ΤΙΝΑ,"


0.15 Χλμ
",2,hotel.tina@gmail.com,26610-93664,2661-093664,,Κάτω Κορακιάνα,ΚΑΤΩ ΚΟΡΑΚΙΑΝΑ(ΔΑΣΙΑ),490 83,,,2661-097068
ΤΟ ΕΜΠΟΡΙΚΟΝ,"


12 Χλμ
",4,stay@merchantshousecorfu.com,26630-98444,,,Περίθεια,ΠΑΛΑΙ ΠΕΡΙΘΕΙΑ ΚΕΡΚΥΡΑΣ,490 81,www.merchantshousecorfu.com,,
ΤΟ ΛΙΜΑΝΙ,,2,linikol@windowslive.com,2661093559,2661093559,,Πυργί,ΠΥΡΓΙ ΚΕΡΚΥΡΑΣ,490 83,,,
ΤΟ ΠΑΛΑΤΙ,,2,info@dipalai.gr,26950-24850,,26950-43540,Πλάνος,ΤΣΙΛΙΒΙ,291 00,www.dipalai.gr,,
ΤΟ ΣΠΙΤΙ ΤΟΥ ΚΑΠΕΤΑΝΙΟΥ,"


0.1 Χλμ
",2,info@captainshouse.net,26710-83389,2671-026140,26710-83377,Σκάλα,ΣΚΑΛΑ ΚΕΦΑΛΛΟΝΙΑΣ,280 82,www.captainshouse.net,,2671-026140
ΤΟ ΧΩΡΙΟ ΤΗΣ ΚΑΡΕΤΑΣ,"


0.2 Χλμ
",2,myhotel@otenet.gr,26950-49300,6944-268023,26950-49301,Καλαμάκι,ΚΑΛΑΜΑΚΙ ΖΑΚΥΝΘΟΥ,291 00,www.carettabeach.com,,
ΤΟΥΡΙΣΤ,"


1 Χλμ
",3,info@hoteltourist.gr,26710-22510,,26710-22590,Αργοστόλι,ΑΝΤΩΝΗ ΤΡΙΤΣΗ 109,281 00,www.hoteltourist.gr,26710-23034,
ΤΡΑΜΟΝΤΟ ΣΟΥΙΤΕΣ,,3,info@tramontosuites.com,2671094007,2671094007,,Αργοστόλι,,28200,www.tramontosuites.com,,
ΤΡΙΑ ΑΔΕΛΦΙΑ,"


0.05 Χλμ
",2,3broshotel@kappavita.gr,26630-95342,2661-034081,26630-95953,Σιδάρι,ΣΙΔΑΡΙ ΚΕΡΚΥΡΑΣ,490 81,,,2661-021675
ΤΡΙΑ ΑΣΤΕΡΙΑ,"


0.3 Χλμ
",2,info@corfu3starshotel.com,26610-75223,2661-075739,26610-75862,Μοραΐτικα,ΜΩΡΑΙΤΙΚΑ ΚΕΡΚΥΡΑΣ,490 84,www.corfu3starshotel.com,26610-75263,2661-075862
ΤΡΙΑΝΤΑΦΥΛΛΕΝΙΟΣ ΚΗΠΟΣ,"


1 Χλμ
",1,hotelrosegarden@yahoo.com,26610-93765,,26610-93765,Κάτω Κορακιάνα,ΔΑΣΙΑ ΚΕΡΚΥΡΑΣ,490 83,www.rosegardencorfu.com,,
ΤΡΙΒΥΖΑΣ,"


0.8 Χλμ
",3,stathistrivizas@gmail.com,2663071154,2663-029595,26630-29595,Σιδάρι,,490 81,,26630-29595,2663-071154
ΤΡΟΠΙΚΑΝΑ ΙΝΝ,"


1.5 Χλμ
",2,info@tropicanainn.gr,26450-92880,6944-583035,26450-92881,Περιγιάλι,ΠΕΡΙΓΙΑΛΙ ΛΕΥΚΑΔΑΣ,311 00,www.tropicanainn.gr,,2645-092881
ΤΣΑΜΗΣ ΖΑΝΤΕ,"


10 Χλμ
",4,info@tsamis-zante.com,26950-62962,2467-082800,26950-61659,Κυψέλη,ΡΟΓΓΙΑ,291 00,www.tsamis-zante.com,,2467-082802
ΤΣΑΜΗΣ ΖΑΝΤΕ ΣΟΥΙΤΕΣ,,5,info@tsamis-zante.com,2695062962,,2695061659,Ζάκυνθος,,29100,www.tsamiszantesuites.com,,
ΤΣΙΛΙΒΙ ΜΠΗΤΣ,"


6 Χλμ
",4,t.kolpondinos@bluecollectionresorts.com,26950-23110,6945-976570,26650-24118,Πλάνος,[ΠΛΑΝΟΣ],291 00,www.bluecollectionresorts.com,26950-44081,26950-24118
ΤΣΙΛΙΒΙ ΠΑΛΑΤΣΕΤΟ,,4,t.kolpondinos@bluecollectionresorts.com,26950-23109,26950-23110,26950-24118,Πλάνος,ΠΛΑΝΟΣ,291 00,www.bluecollectionresorts.com,26950-23110,26950-24118
ΥΑΚΥΝΘΟΣ,,2,maroudasdim@yahoo.gr,26950-51211,,26950-27143,Μουζάκι,ΜΟΥΖΑΚΙ ΖΑΚΥΝΘΟΥ,290 92,,,
ΥΛΙΕΣΣΑ,"


4 Χλμ
",3,iliessah@otenet.gr,26950-45345,2695-022810,26950-45346,Αργάσι,ΤΕΡΤΣΕΤΗ 69,291 00,www.iliessa.com,41581,2695-045346
ΥΡΙΑ,"


1 Χλμ
",2,info@yriahotels.gr,26950-44682,,26950-42894,Ζάκυνθος,ΚΑΠΟΔΙΣΤΡΙΟΥ 4,291 00,www.yriahotels.gr,26950-44683,
ΥΨΟΣ ΖΑΜΠΕΛΛΑ,"


1 Χλμ
",2,hotelipsosbeach@gmaill.com,26610-93232,2661-043552,26610-93147,Ύψος,ΥΨΟΣ ΚΕΡΚΥΡΑΣ,490 83,www.corfuholiday.gr,,2661-043252
ΥΨΟΣ ΠΑΡΑΔΙΣΕΙΟ,,2,info@paradiso.com.gr,2661093340,,26610-97161,Άγιος Μάρκος,,491 00,www.paradiso.com.gr,,
ΦΑΕΘΩΝ,"


1.5 Χλμ
",3,t.skourtis@gmail.com,26630-31848,21-05720832,26630-32428,Βελονάδες,,490 61,www.faethon-hotel.gr,210-5720832,21-05720832
ΦΑΙΑΚΕΙΟΝ,"


1 Χλμ
",2,feakionhotel@yahoo.gr,26610-99018,26610-36855,26610-90585,Γουβιά,ΓΟΥΒΙΑ ΚΕΡΚΥΡΑΣ,491 00,www.feakion-corfu.gr,26610-90585,26610-91502
ΦΑΛΗΡΑΚΙ,"


15 Χλμ
",1,falirakiapartments@yahoo.gr,26610-72121,,26610-72120,Γαστούρι,ΠΕΡΑΜΑ,490 84,www.falirakiapartments.com,26610-72220,
ΦΑΜΙΛΙΑ,"


0.6 Χλμ
",3,info@hotel-familia.com,2674033366,6979-589396,26740-23932,Ιθάκη,ΒΑΘΥ ΙΘΑΚΗΣ,283 00,www.hotel-familia.com,6979589396,2674023932
ΦΑΜΙΛΥ ΛΑΪΦ ΚΕΡΚΥΡΑ ΓΚΟΛΦ,"


3 Χλμ
",4,kerkyra@louishotels.com,26610-24030,2661-024030,26610-24080,Ποταμός,ΑΛΥΚΑΙ ΚΕΡΚΥΡΑΣ,491 00,www.louishotels.com,,2661-024080
ΦΙΛΙΠΠΟΣ,"


7 Χλμ
",2,info@hotelphilippos.gr,26450-71598,2645-071598,26450-71859,Επίσκοπος,,311 00,www.hotelphilippos.gr,,2645-071859
