Όνομα,Απόσταση από νοσοκομείο,Αστέρια,Ιστοσελίδα,E-Mail,Τηλέφωνο,Αριθμός Φαξ,Πόλη,Ταχυδρομικός Κώδικας,Διεύθυνση,Τηλέφωνο 2,Εναλλακτικό Τηλέφωνο,Εναλλακτικό Φαξ
ΠΤΕΡΥΞ ΗΛΙΟΥ ΙΙΙ,"


27 Χλμ
",2,,makrigialos@sunwing.net,28430-64300,28430-51756,Μακρυγιαλός,720 55,ΜΑΚΡΥΣ ΓΙΑΛΟΣ ΣΗΤΕΙΑΣ,,2843-064300,2843-051756
ΠΤΕΡΥΞ ΤΟΥ ΗΛΙΟΥ 2,"


35 Χλμ
",4,,makrigialos@sunwing.net,28430-64300,28430-51756,Μακρυγιαλός,720 55,ΜΑΚΡΥΣ ΓΙΑΛΟΣ ΣΗΤΕΙΑΣ,,2843-051621,2843-051626
ΠΥΡΓΟΣ,"


5 Χλμ
",2,,info@hotelpyrgos.gr,28210-64431,28210-64057,Κουνουπιδιανά,731 00,ΛΕΩΦ.ΑΓ.ΟΝΟΥΦΡΙΟΥ,28210-69736,,
ΠΥΡΓΟΣ ΧΑΜΑΛΕΥΡΙΟΥ,"


1.5 Χλμ
",4,www.pirgostraditionalhouse.gr,gpolioudakis@gmail.com,28310-71182,,Χαμαλεύρι,741 00,ΧΑΜΑΛΕΥΡΙ ΡΕΘΥΜΝΟΥ,,2831-071182,
ΡΑΔΑΜΑΝΘΥΣ,"


10 Χλμ
",2,www.radama-apartments.gr,maripapa08@gmail.com,28310-72691,28310-72692,Σφακάκι,741 00,ΣΦΑΚΑΚΙ ΠΑΓΚΑΛΟΧΩΡΙΟΥ ΡΕΘΥΜΝΟΥ,6978336188,2831-028876,
ΡΑΝΙΑ,"


13 Χλμ
",2,www.rania-hotel.com,info@rania-hotel.com,28210-68532,28210-60044,Πλατανιάς,730 14,ΠΛΑΤΑΝΙΑΣ ΚΥΔΩΝΙΑΣ ΧΑΝ.,,2821-068532,
ΡΑΝΤΙΣΟΝ ΜΠΛΟΥ ΜΠΗΤΣ ΡΕΖΟΡΤ ΜΙΛΑΤΟΣ ΚΡΗΤΗΣ,"


7 Χλμ
",5,www.minosimperial.com,account@minosimperial.com,28410-65000,28410-81300,Μίλατος,724 00,ΜΙΛΑΤΟΣ ΝΕΑΠΟΛΗ ΚΡΗΤΗΣ,28410-65026,2841-065026,2841-065039
ΡΕΑ,"


0.3 Χλμ
",1,www.hotelrea.gr,info@hotelrea.gr,2810-223638,2810-242189,Ηράκλειο,712 02,ΚΑΛΗΜΕΡΑΚΗ & ΧΟΡΤΑΤΣΩΝ,,,
ΡΕΑ,"


0.08 Χλμ
",2,www.rea-hotel.gr,info@rea-hotel.gr,28230-41307,28230-41605,Παλαιοχώρα,730 01,ΠΑΛΑΙΟΧΩΡΑ ΧΑΝΙΩΝ,2810-50723,2821-050723,2823-041605
ΡΕΑ,,2,,hotel-rea@messara.de,28320-91390,28320-91390,Αγία Γαλήνη,740 56,ΑΓΙΑ ΓΑΛΗΝΗ ΡΕΘΥΜΝΗΣ,,2892-91158,
ΡΕΑ,"


15 Χλμ
",3,,info@reasfunclub.gr,28210-39001,,Σταυρός,731 00,ΣΤΑΥΡΟΣ ΑΚΡΩΤΗΡΙΟΥ ΧΑΝΙΩΝ,28210-39004,2821-039001,2821-039541
ΡΕΒΕΚΚΑ,,2,http://revekka-apts.gr,revekkaapartments@hotmail.com,2821068714,,Πλατανιάς,73014,,,,
ΡΕΓΓΙΝΑ,,3,,giorgioarc@gmail.com,2822031246,,Δραπανιάς,73400,,,,
ΡΕΖΙΝΤΑΝΖ,"


5 Χλμ
",4,www.residencevillas.gr,info@residencevillas.gr,28970-31528,28970-32487,Σταλίδα,700 07,ΣΤΑΛΙΔΑ ΗΡΑΚΛΕΙΟΥ,28970-32486,281-0341551,281-0341551
ΡΕΘΥΜΝΙΩΤΙΚΟ ΣΠΙΤΙ,,3,,,28310-23923,,Ρέθυμνο,741 00,ΒΙΚΕΝΤΙΟΥ ΚΟΡΝΑΡΟΥ 1,,,
ΡΕΘΥΜΝΟ – ΚΡΥΣΤΑΛ ΡΕΖΙΝΤΕΝΣ,"


6.5 Χλμ
",3,www.rethymnoresidence.gr,info.rethymnoresidence@gmail.com,28310-72633,28310-72550,Αδελιανός Κάμπος,741 00,ΑΔΕΛΙΑΝΟΣ ΚΑΜΠΟΣ ΡΕΘΥΜΝΟΥ,28310-72634,,
ΡΕΘΥΜΝΟ ΒΙΛΛΑΤΖ,"


6 Χλμ
",3,www.rethymnovillage.gr,info@rethymnovillage.gr,28310-25523,28310-53862,Ρέθυμνο,741 00,ΜΑΧΗΣ ΚΡΗΤΗΣ 199 & ΑΕΡ.Κ.Λ ΜΑΜΑΛΑΚ,,6947-615717,28310-21118
ΡΕΘΥΜΝΟ ΜΑΡΕ,"


11 Χλμ
",5,www.rethymnomare.com,rethmare@otenet.gr,28310-71703,28310-71734,Σκαλέτα,741 00,ΣΚΑΛΕΤΑ ΠΡΙΝΟΥ ΜΥΛΟΠΟΤΑΜΟ,2831071769,2831-071703,2831-071734
ΡΕΘΥΜΝΟ ΠΑΛΛΑΣ,"


6 Χλμ
",5,www.rethymnopalace.gr,info@rethymnopalace.gr,28310-72418,28310-72422,Αδελιανός Κάμπος,741 00,Τ.Θ. 538,,,
ΡΕΙΖΑΚΗΣ,"


2 Χλμ
",2,,reizakis-bestbuy@hotmail.com,28210-32786,28210-33356,Δαράτσος,731 00,ΚΑΤΩ ΔΑΡΑΤΣΟ ΧΑΝΙΩΝ,28210-32787,,
ΡΕΝΑΤΑ,"


2 Χλμ
",4,,,2810-761203,,Γούρνες,715 00,ΓΟΥΡΝΕΣ ΠΕΔ.ΗΡΑΚΛΕΙΟΥ,761929,,
ΡΕΝΙΕΡΗΣ,"


6 Χλμ
",3,www.renierishotel.gr,info@renierishotel.gr,28210-68763,28210-68765,Σταλός,731 00,ΨΑΘΙ - ΚΑΤΩ ΣΤΑΛΟΣ ΧΑΝΙΩΝ,,28210-68763,
ΡΗΛΑΞ,"


10 Χλμ
",2,www.relaxhotels.gr,info@relaxhotels.gr,28210-68806,28210-60286,Αγία Μαρίνα,731 00,ΑΓ.ΜΑΡΙΝΑ ΧΑΝΙΩΝ,,2821-032657,2821-060286
ΡΙΒΙΕΡΑ ΣΤΑΛΙΣ,,3,,caraveltours@caravel.gr,6944335765,,Σταλίδα,70007,ΑΓΙΟΥ ΙΩΑΝΝΗ 104,,,
ΡΙΘΥΜΝΑ ΜΠΗΤΣ,"


7 Χλμ
",5,www.aquilahotels.com,account1.rb@aquilahotels.com,28310-74024,28310-71668,Άδελε,741 00,ΑΔΕΛΕ ΡΕΘΥΜΝΗΣ,2831200300,2831-029491,2831-071668
ΡΙΜΟΝΤΙ ΕΣΤΕΪΤ,,4,www.hotelsrimondi.com,info@hotelsrimondi.com,28310-51001,28310-51001,Ρέθυμνο,741 00,ΞΑΝΘΟΥΔΙΔΟΥ 10,,,
ΡΙΤΑ,"


0.15 Χλμ
",2,www.ritasuites.gr,info@ritasuites.gr,28210-60280,28210-60279,Πλατανιάς,730 14,ΠΛΑΤΑΝΙΑΣ ΧΑΝΙΩΝ,28210-60282,,
ΡΟΑΓΙΑΛ ΧΑΪΤΣ ΡΗΖΟΡΤ,,5,www.rhr.gr,info@rhr.gr,28970-35040,28970-33362,Μάλια,700 07,ΠΕΖΟΥΛΑ ΜΑΛΙΩΝ,,,
ΡΟΔΑΝΘΗ,"


15 Χλμ
",3,www.rodanthihotel.gr,info@rodanthihotel.gr,28250-96270,28210-58500,Γεωργιούπολη,730 07,ΚΑΣΤΕΛΛΟΣ,,6976512163,
ΡΟΔΟ,"


0.3 Χλμ
",1,www.hotel-rose.gr,info@hotel-rose.gr,28210-68310,28210-60659,Σταλός,731 00,ΚΑΤΩ ΣΤΑΛΟΣ ΧΑΝΙΩΝ ΚΡΗΤΗΣ,,6973-774619,
ΡΟΔΟΜΕΛΙ,,3,,,28340-92255,,Μαργαρίτες,740 52,,,,
ΡΟΔΟΝ,"


7.5 Χλμ
",3,www.rodon-hotel.gr,info@rodon-hotel.gr,28210-58317/8,28210-56821,Χανιά,731 33,ΑΚΡΩΤΗΡΙΟΥ 92,,,
ΡΟΜΑΝΤΙΚΑ,"


2 Χλμ
",2,www.romantica.gr,guest@romantica.gr,28970-24809,,Κουτουλουφάρι,700 14,ΚΟΥΤΟΥΛΟΥΦΑΡΙ ΗΡΑΚΛ.,28970-24342,281-0228542,281-0283988
ΡΟΜΑΝΤΙΚΑ,"


0.03 Χλμ
",1,www.romanticahotel.com,piperaki_paraskevi@hotmail.com,28250-61610,28250-61610,Γεωργιούπολη,730 07,,,6972-990441,
ΡΟΥΑΓΙΑΛ ΜΑΡΕ,"


2 Χλμ
",5,www.aldemarhotels.com,rmv@aldemarhotels.com,28970-25025,28970-21664,Ανισσαράς,700 14,ΑΝΙΣΣΑΡΑΣ ΛΙΜ.ΧΕΡΣΟΝΗΣΟΥ,,,
ΡΟΥΑΓΙΑΛ ΜΠΕΛΒΕΝΤΕΡΕ,"


1 Χλμ
",4,www.belvederehotels.net,manager@belvederehotels.net,28970-22371-5,28970-24388,Λιμένας Χερσονήσου,700 14,ΛΙΜΗΝ ΧΕΡΣΟΝΗΣΟΥ,24472,2897-022371/029470,2897-024388
ΡΟΥΑΓΙΑΛ ΣΑΝ-ΒΑΣΙΛΙΚΟΣ ΗΛΙΟΣ,"


1 Χλμ
",3,,hotelroyalsun@gmail.com,2821-042618,2821-020161,Χανιά,731 00,ΧΑΛΕΠΑ ΧΑΝΙΩΝ,2821-046363,,
ΡΟΫΑΛ ΜΑΡΜΙΝ ΜΠΕΫ,"


2 Χλμ
",5,www.royalmarminbay.gr,info@marminbay.gr,28410-42251,28410-42484,Κάτω Ελούντα,720 53,ΛΑΓΚΑΔΙΑ ΕΛΟΥΝΤΑΣ ΛΑΣΙΘΙΟΥ,28410-42253,6948409509,28410-42484
ΡΟΥΚΟΥΝΕΛΙ,,3,,emma6@otenet.gr,28310-55808,,Αρμένοι,741 00,,,,
ΡΥΤΙΟΝ,"


0.8 Χλμ
",2,,cheleano@hotmail.com,28970-23047,28970-22697,Λιμένας Χερσονήσου,700 14,ΕΛ.ΒΕΝΙΖΕΛΟΥ 124,,,
ΡΩΞΑΝΗ,"


0.1 Χλμ
",3,https://roxanihotel.com/,hotelroxani.crete@gmail.com,+302810821513,2810-821531,Γάζι,715 00,ΑΜΜΟΥΔΑΡΑ,,6953001987,
ΣΑΜΑΡΙΑ,"


0.5 Χλμ
",4,www.samariahotel.gr,info@samariahotel.gr,2821038600,2821038610,Χανιά,731 35,ΠΛΑΤΕΙΑ 1866,,,
ΣΑΝ – ΗΛΙΟΣ,"


18 Χλμ
",2,,,28920-42146,,Μάταλα,702 00,ΜΑΤΑΛΑ ΗΡΑΚΛΕΙΟΥ ΚΡΗΤΗΣ,,2892-042275,
ΣΑΝ – ΗΛΙΟΣ,"


0.2 Χλμ
",1,www.sunhotelamoudara.com,sunhotel@otenet.gr,2810-251790,2810-251161,Γάζι,714 14,ΑΝΔΡΕΑ ΠΑΠΑΝΔΡΕΟΥ 123,2810-318860,,
ΣΑΝ ΕΝΤ ΣΙ ΠΛΑΣ ΡΙΖΟΡΤ,,4,,thomask3@otenet.gr,2821070452,2821070452,Πλάκα,73008,,2825033772,2821070452,2821070452
ΣΑΝ ΚΡΙΤΣΧΟΤΕΛ,"


1 Χλμ
",3,,contact@kritshotel.gr,2897023249,,Λιμένας Χερσονήσου,700 14,ΑΓΙΟΥ ΚΩΝ/ΝΟΥ,2897023762,2897031077,2897032333
ΣΑΝ ΜΑΡΙΝ,"


1 Χλμ
",3,,palmera1@otenet.gr,28970-24623,28970-22483,Λιμένας Χερσονήσου,700 14,28ΗΣ ΟΚΤΩΒΡΙΟΥ 8,28970-22482,,
ΣΑΝ ΜΠΗΤΣ-ΑΚΤΗ ΗΛΙΟΥ,"


3 Χλμ
",1,,,28970-31557,,Μάλια,700 07,ΜΑΛΛΙΑ ΗΡΑΚΛ.ΚΡΗΤΗΣ,28970-331428,,
ΣΑΝ ΡΑΙΖ,,1,,,28410-83225,,Άγιος Νικόλαος,721 00,ΙΔΟΜΕΝΕΩΣ 1,28410-83226,,
ΣΑΝ ΣΕΤ-ΗΛΙΟΒΑΣΙΛΕΜΑ,"


11 Χλμ
",3,www.sunsetbeachapts.com,BOOK.SUNSET@SHOTELS.GR,2810-761535,2810-761553,Κάτω Βάθεια,715 00,ΒΑΘΕΙΑΝΟΣ ΚΑΜΠΟΣ,2810-761553,281-0761561,
ΣΑΝ ΣΙΤΥ – ΠΟΛΗ ΤΟΥ ΗΛΙΟΥ,"


3 Χλμ
",1,www.suncity.gr,info@suncity.gr,28210-31490,28210-32572,Δαράτσος,731 00,ΑΓ.ΑΠΟΣΤΟΛΟΙ ΧΑΝΙΩΝ,28210-31686,2821-032117,2821032572
ΣΑΝΝΤΑΝΣ ΔΙΑΜΕΡΙΣΜΑΤΑ ΚΑΙ  ΣΟΥΙΤΕΣ,"


1 Χλμ
",3,http://sundanceapartments.com,info@sundanceapartments.com,28970-22515,28970-23566,Κουτουλουφάρι,700 14,ΚΟΥΤΟΥΛΟΥΦΑΡΙ,28970-22666,281-0240303,281-0222154
ΣΑΝΣΕΤ ΜΠΑΛΙ,,4,,kostas.sunset@yahoo.gr,2897032137,,Μπαλί,74052,,,,
ΣΑΝΤΑ ΕΛΕΝΑ,"


17 Χλμ
",3,http://www.santahelena.gr,accounts@santahelena.gr,28210-68767,28210-68719,Πλατανιάς,730 14,ΠΛΑΤΑΝΙΑΣ ΚΥΔΩΝΙΑΣ ΧΑΝΙΩΝ,,2821-096408,2821-088263
ΣΑΝΤΑ ΜΑΡΙΝΑ,"


0.5 Χλμ
",4,www.hotelsantamarina.gr,dimitriospapidakis@gmail.com,2810331133,28410-22214,Άγιος Νικόλαος,721 00,ΚΑΠΕΤΑΝΑΚΗ 4 ΚΑΙΚΟΝΤΟΓΙΑΝΝΗ,2841026265,6932471374,
ΣΑΝΤΑ ΜΑΡΙΝΑ ΜΑΡΓΑΡΙΤΑΡΕΝΙΑ ΠΤΕΡΥΓΑ,,5,,santamarinabeach@giannoulishotels.com,2821068570,2821068571,Αγία Μαρίνα,73014,,2821072667,,
ΣΑΝΤΑ ΜΑΡΙΝΑ ΜΠΗΤΣ,"


0.5 Χλμ
",4,www.santamarina-hotels.gr,santamarina@apollonia.gr,2810-261103,2810-261369,Γάζι,714 14,ΑΜΜΟΥΔΑΡΑ ΓΑΖΙΟΥ,0261147,281-0261103,281-0261369
ΣΑΝΤΑ ΜΑΡΙΝΑ ΜΠΗΤΣ,"


10 Χλμ
",4,www.santamarina-hotel.gr,santamarinabeach@giannoulishotels.com,28210-68350,28210-68571,Αγία Μαρίνα,731 00,ΑΓΙΑ ΜΑΡΙΝΑ ΧΑΝΙΩΝ,28210-68570,,
ΣΑΝΤΥ,,2,http://www.olga-sandysuites.gr/,info@olga-sandysuites.gr,2821031853,,Γαλατάς,731 00,,,,
ΣΓΟΥΡΟΣ,"


1 Χλμ
",2,www.sgourosgrouphotels.com,sgouroshotel@sgourosgrouphotels.com,28410-28931,28410-25568,Άγιος Νικόλαος,721 00,ΚΙΤΡΟΠΛΑΤΕΙΑ,28410-23931,,
ΣΕΙΡΙΟΣ ΧΩΡΙΟ,"


5 Χλμ
",4,www.siriosvillage.gr,info@siriosvillage.gr,28210-32102,28210-32124,Δαράτσος,731 00,ΚΑΤΩ ΔΑΡΑΤΣΟ ΚΥΔ.ΧΑΝΙΩΝ,32146,2821-032102,2821-032124
ΣΕΙΣΙ ΜΠΕΙ,"


10 Χλμ
",4,www.sissibay.gr,info@sissibay.gr,28410-71298,28410-71284,Σίσι,724 00,ΣΙΣΣΙ ΜΙΡΑΜΠΕΛΟΥ ΛΑΣΗΘΙΟΥ,28410-72178,2841071298,2841071284
ΣΕΙΣΙ ΜΠΕΙ Ι,"


7 Χλμ
",2,www.sissibay.gr,info@sissibay.gr,28410-71327,28410-71284,Σίσι,724 00,ΣΕΙΣΙ ΛΑΣΗΘΙΟΥ ΚΡΗΤΗΣ,28410-71298,281-0224339,281-0226968
ΣΕΙΣΙ ΡΟΚ- ΒΡΑΧΟΣ ΣΕΙΣΙΟΥ,"


15 Χλμ
",4,www.giannulakis.gr,info@vasiabeach.gr,28410-71001,28410-71015,Σίσι,724 00,ΣΕΙΣΙ ΛΑΣΗΘΙΟΥ ΚΡΗΤΗΣ,,,
ΣΕΛΗΝΗ – ΘΑΛΑΣΣΙΑ ΘΕΑ,"


20 Χλμ
",4,www.selinisuites.com,info@selinisuites.com,28240-83033,28240-22483,Καμισιανά,730 06,ΡΑΠΑΝΙΑΝΑ ΧΑΝΙΩΝ,28240-22213,2821034111,28240-22483
ΣΕΛΗΝΟΦΩΣ,"


2 Χλμ
",2,http://www.moonlighthotel.gr/index.php/en/home-2/,moonlight_hotel_mallia@yahoo.gr,2897032052,2897029921,Μάλια,700 07,ΝΙΚΟΛΑΟΥ ΓΡΑΜΜΑΤΙΚΑΚΗ 329,2897029908,6974666159,2897029921
ΣΕΜΙΡΑΜΙΣ,,2,www.semiramis-suites.gr,info@semiramis-suites.gr,28210-34050,28210-34050,Δαράτσος,731 00,,,,
ΣΕΝΤΡΑΛ,,4,www.centralhotelheraklion.com,info@centralhotelheraklion.com,2810282020,2810282022,Ηράκλειο,71202,ΚΟΡΩΝΑΙΟΥ 26,,,
ΣΕΡΓΙΑΝΙ,"


2 Χλμ
",2,www.sergiani.gr,info@sergiani.gr,28970-32111,28970-32610,Μάλια,700 07,,,2897-032111,2897-032610
ΣΕΡΓΙΟΣ,"


1 Χλμ
",3,,dimitris@asteriasvillage.gr,28970-22583-5,28970-22652,Λιμένας Χερσονήσου,700 14,ΛΙΜ.ΧΕΡΣΟΝΗΣΟΥ ΗΡΑΚΛΕΙΟΥ,28970-22651,,
ΣΕΡΕΝΙΣΙΜΑ,,5,http://serenissima.gr,info@serenissima.gr,28210-86386,2821086486,Χανιά,731 00,ΣΚΟΥΦΩΝ 4,,,
ΣΕΡΙΤΑ ΜΠΗΤΣ,"


3 Χλμ
",5,www.seritabeach.com,reservations@seritabeach.com,28970-24542,28970-23235,Ανισσαράς,700 14,ΑΝΙΣΑΡΑΣ ΧΕΡΣΟΝΗΣΟΥ ΗΡΑΚΛ,,,
ΣΗ ΦΡΟΝΤ,"


0.3 Χλμ
",3,www.seafront-creta.com,seafrontapts@outlook.com,28310-72600,28310-71107,Αδελιανός Κάμπος,741 00,Τ.Θ. 7107,28310-71104,6942433188,2831071107
ΣΗΤΕΙΑ ΜΠΗΤΣ,"


1 Χλμ
",5,www.sitiabeach.com,sitiabeach@cyanhotels.com,28430-28821,28430-28826,Σητεία,723 00,Λ.ΚΑΡΑΜΑΝΛΗ,28430-28822,,
ΣΙ ΒΙΟΥ-ΘΑΛΑΣΣΙΑ ΘΕΑ,"


5 Χλμ
",2,www.seaview-chania.com,seaview.chania@hotmail.com,28210-97606,28210-32167,Δαράτσος,731 00,ΓΕΡΜΑΝΙΚΟ ΠΟΥΛΙ,6945-449924,,
ΣΙΒΑΣ,"


0.15 Χλμ
",4,,,28920-42750,,Σίβας,702 00,ΣΙΒΑΣ ΠΥΡΓΙΩΤΙΣΣΑΣ ΗΡΑΚΛΕΙΟΥ,,6947-320571,281-0282470
ΣΙΣΣΙ ΜΑΡΕ-ΘΑΛΑΣΣΑ ΣΙΣΣΙ,"


8 Χλμ
",1,www.sissimare.gr,sissimare71@yahoo.gr,28410-71120,28410-71450,Σίσι,724 00,ΣΙΣΣΙ ΛΑΣΗΘΙΟΥ,28410-71600,281-0326417,
ΣΙΣΣΥ ΒΙΛΛΑΤΖ,"


15 Χλμ
",2,www.sissy-village.gr,info@sissy-village.gr,28210-69241,28210-64144,Κουνουπιδιανά,731 00,,28210-64144,,
ΣΙΤΙ ΓΚΡΙΝ,"


0.1 Χλμ
",4,https://citygreenhotel.gr,info@citygreenhotel.gr,28970-24430,28970-24430,Λιμένας Χερσονήσου,700 14,ΔΑΣΚΑΛΟΓΙΑΝΝΗ 10,28970-22236,2897-021822,2897-024430
ΣΚΑΙ ΜΠΗΤΣ,"


0.5 Χλμ
",3,www.skybeach.gr,info@skybeach.gr,28320-91415,28320-91127,Αγία Γαλήνη,740 56,ΑΓΙΑ ΓΑΛΗΝΗ ΡΕΘΥΜΝΟΥ,,2832-091415,2832-091127
ΣΚΑΛΑ,"


2 Χλμ
",3,,hotskala@gmail.com,28210-68332,28210-68332,Αγία Μαρίνα,731 00,ΑΓ.ΜΑΡΙΝΑ ΧΑΝΙΩΝ,28210-68680,2821-068332,2821-028722
ΣΚΑΛΑ,"


0.8 Χλμ
",3,www.scala.gr,finance@economycarrentals.com,2815302312,2810-811650,Αγία Πελαγία,715 00,ΑΓ.ΠΕΛΑΓΙΑ ΑΧΛΑΔΑΣ ΗΡΑΚΛΕΙΟΥ,2815302312,2810811333,2810811650
ΣΚΑΛΑ ΝΤΕ ΦΑΡΟ,,5,http://scaladefaro.com/,info@scaladefaro.com,2821075798,,Χανιά,73131,ΖΑΜΠΕΛΙΟΥ 28,,,
ΣΚΟΡΠΙΟΣ,,1,,,28920-45102,,Μάταλα,702 00,ΜΑΤΑΛΑ ΗΡΑΚΛΕΙΟΥ,28920-42102,2892-042102,
ΣΜΑΡΑΓΔΕΝΙΑ ΑΚΤΗ,"


2 Χλμ
",2,www.smaragdine.gr,office@smaragdine.gr,28970-33757,28970-32147,Σταλίδα,700 07,ΑΓΙΟΥ ΙΩΑΝΝΗ 69,,,
ΣΜΑΡΑΓΔΗ,,4,,smaragdi@hotmail.gr,6946953841,2831053462,Ρέθυμνο,74132,ΕΛΕΥΘΕΡΙΟΥ ΒΕΝΙΖΕΛΟΥ  41,,,
ΣΟΓΙΟΡΚΑ,,2,,info@booking-crete.gr,28970-23652,,Λιμένας Χερσονήσου,700 14,ΛΙΜ.ΧΕΡΣΟΝΗΣΟΥ ΗΡΑΚΛ.,,,
ΣΟΛ-ΗΛΙΟΣ,"


0.2 Χλμ
",2,,petrakis.1960@gmail.com,28970-32591,28970-33652,Μάλια,700 07,,28970-32592,2897-033056,
ΣΟΛΙΜΑΡ ΑΚΟΥΑΜΑΡΙΝ,"


4 Χλμ
",5,www.solimarhotels.gr,mgraqua@solimarhotels.gr,2821029000,2821062668,Πύργος,731 00,ΚΟΝΤΟΜΑΡΙ,,,
ΣΟΛΙΜΑΡ ΓΟΥΑΪΤ ΠΕΡΛ,"


20 Χλμ
",4,https://www.solimarhotels.gr/en/property/594,mgrwpearl@solimarhotels.gr,28240-23802,28240-23801,Κολυμβάρι,730 06,ΚΟΛΥΜΠΑΡΙ ΧΑΝΙΩΝ,,,
ΣΟΛΙΜΑΡ ΔΙΑΣ,"


0.5 Χλμ
",3,www.solimarhotels.gr,mgrdias@solimarhotels.gr,2831071177,28310-71556,Άδελε,741 00,ΑΔΕΛΕ ΡΕΘΥΜΝΗΣ,,,
ΣΟΛΙΜΑΡ ΕΜΕΡΑΛΝΤ,,2,www.solimarhotels.gr,mgremer@solimarhotels.gr,2831073029,,Πηγιανός Κάμπος,741 00,,,,
ΣΟΛΙΜΑΡ ΡΟΥΜΠΙ,"


0.5 Χλμ
",4,www.solimarhotels.gr/ruby/,mgrruby@solimarhotels.gr,28970-32400,28970-32444,Μάλια,700 07,ΜΑΛΛΙΑ ΗΡΑΚΛ.ΚΡΗΤΗΣ,,,
ΣΟΛΙΜΑΡ ΤΥΡΚΟΥΑΖ,"


10 Χλμ
",4,www.caneamare.com,info@caneamare.com,28210-68825,28210-60196,Αγία Μαρίνα,731 00,ΑΓ.ΜΑΡΙΝΑ ΚΥΔΩΝΙΑΣ ΧΑΝΙΩΝ,28210-68835,,
ΣΟΝΙΑ ΜΑΡΕ,,2,,soniamareapts@gmail.com,28970-23216,,Λιμένας Χερσονήσου,700 14,Φ.ΖΩΤΟΥ 17,28970-24537,281-0227345,
ΣΟΝΙΟ ΜΠΗΤΣ,,2,,nielsen.katerina@gmail.com,2821821729,,Πλατανιάς,73014,,,,
ΣΟΥΔΑ ΜΑΡΕ,"


2 Χλμ
",2,soudamare.kreta-sun.com,Michalis.ret@gmail.com,28320-31931,28320-31763,Πλακιάς,740 60,ΠΛΑΚΙΑΣ ΜΥΡΘΙΟΥ,,2831-058517,
ΣΟΥΕΛ,"


1 Χλμ
",4,www.swellhotel.gr,info@swellhotel.gr,28310-50110,28310-50115,Ρέθυμνο,741 00,Σ.ΒΕΝΙΖΕΛΟΥ ΚΑΙ Κ.ΛΕΜΟΝΙΑ,,,
ΣΟΥΪΤΕΣ ΑΝΑΤΟΛΗ,"


1 Χλμ
",2,www.sunrise-suites.gr,manager@sunrise-suites.gr,28250-32324,28250-32223,Καλύβες,730 03,,,6974716262,
ΣΟΦΗ,"


0.5 Χλμ
",2,,vasilisperakis@yahoo.gr,28970-22557,2810-313869,Λιμένας Χερσονήσου,700 14,ΖΩΤΟΥ 12,6944-100025,281-0282668,281-0313869
ΣΟΦΙΑ,"


2 Χλμ
",2,www.kreta-sun.com,hotelsofia21@gmail.com,28320-31251,28320-31252,Πλακιάς,740 60,ΠΛΑΚΙΑΣ ΡΕΘΥΜΝΟΥ,,6973-226802,
ΣΟΦΙΑ,"


5 Χλμ
",1,https://hotel-sofia.gr/,info@matala-sofia.com,28920-45134,28920-45743,Μάταλα,702 00,ΜΑΤΑΛΑ ΗΡΑΚΛΕΙΟΥ,,2286-042134,2286-042743
ΣΟΦΙΑ,"


3 Χλμ
",3,www.hotel-sofia.gr,info@hotel-sofia.gr,2810-240002,2810-227564,Ηράκλειο,716 01,ΣΤΑΔΙΟΥ 55,224971,,
ΣΟΦΙΑ,"


0.5 Χλμ
",3,,dimitris@asteriasvillage.gr,28970-22583,28970-22528,Λιμένας Χερσονήσου,700 14,ΠΕΤΕΙΝΑΚΗ 10,2897022743,2897-022583,2897-022743
ΣΟΦΙΑ,"


15 Χλμ
",2,,manager@filionhotel-crete.gr,28340-94202,28340-94451,Μπαλί,740 57,,28340-94450,6976-431486,
ΣΟΦΙΑ,,4,www.sofiaresort.gr,info@sofiaresort.gr,28250-61060,,Παραλία Κουρνά-Καβρός,730 07,ΚΑΒΡΟΣ ΑΠΟΚΟΡΩΝΟΥ ΧΑΝΙΩΝ,,,
ΣΟΧΩΡΑ,,3,www.sohora.gr,naskotel@yahoo.com,28310-300913,,Ρέθυμνο,741 00,ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ & ΡΗΓΑ ΦΕΡ. 11,6942979505,,
ΣΠΗΛΙΑ ΒΙΛΛΑΤΖ-ΧΩΡΙΟ ΣΠΗΛΙΑ,"


12 Χλμ
",4,www.spiliavillage.gr,info@spiliavillage.gr,28240-83300,28240-83333,Σπηλιά,730 06,ΣΠΗΛΙΑ ΧΑΝΙΩΝ,6946124338,2824-083300,2824-083333
ΣΠΙΤΙ ΤΗΣ ΑΝΝΑΣ,,2,www.annashouse.gr,info@annashouse.gr,28250-61556,28250-61094,Γεωργιούπολη,730 07,ΓΕΩΡΓΙΟΥΠΟΛΗ ΧΑΝΙΩΝ,,,
ΣΠΙΤΙ ΤΗΣ ΑΡΙΣΤΕΑΣ,,4,www.casadellaristea.com,info@casadellaristea.com,28310-31431,,Ατσιπόπουλο,741 00,ΤΑΧ.ΘΥΡΙΔΑ:4-440,,,
ΣΠΙΤΙ ΤΟΥ ΕΝΕΤΟΥ,,4,,,28970-29373,,Χερσόνησος,700 14,ΑΝΩ ΧΕΡΣΟΝΗΣΟΣ,,,
